Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
V186,"Mulheres, cônjuges ou companheiras de sexo diferente com 53 anos de idade","Women, spouses or partners of different sex with 53 years of age",family_unit,V044,Age and Gender,4,1
V187,"Mulheres, cônjuges ou companheiras de sexo diferente com 54 anos de idade","Women, spouses or partners of different sex with 54 years of age",family_unit,V045,Age and Gender,2,1
V188,"Mulheres, cônjuges ou companheiras de sexo diferente com 55 anos de idade","Women, spouses or partners of different sex with 55 years of age",family_unit,V046,Age and Gender,5,6
V189,"Mulheres, cônjuges ou companheiras de sexo diferente com 56 anos de idade","Women, spouses or partners of different sex with 56 years of age",family_unit,V047,Age and Gender,3,2
V190,"Mulheres, cônjuges ou companheiras de sexo diferente com 57 anos de idade","Women, spouses or partners of different sex with 57 years of age",family_unit,V048,Age and Gender,2,0
V191,"Mulheres, cônjuges ou companheiras de sexo diferente com 58 anos de idade","Women, spouses or partners of different sex with 58 years of age",family_unit,V049,Age and Gender,2,0
V192,"Mulheres, cônjuges ou companheiras de sexo diferente com 59 anos de idade","Women, spouses or partners of different sex with 59 years of age",family_unit,V050,Age and Gender,2,1
V193,"Mulheres, cônjuges ou companheiras de sexo diferente com 60 anos de idade","Women, spouses or partners of different sex with 60 years of age",family_unit,V051,Age and Gender,2,1
V194,"Mulheres, cônjuges ou companheiras de sexo diferente com 61 anos de idade","Women, spouses or partners of different sex with 61 years of age",family_unit,V052,Age and Gender,3,0
V195,"Mulheres, cônjuges ou companheiras de sexo diferente com 62 anos de idade","Women, spouses or partners of different sex at 62 years of age",family_unit,V053,Age and Gender,0,1
V196,"Mulheres, cônjuges ou companheiras de sexo diferente com 63 anos de idade","Women, spouses or partners of different sex with 63 years of age",family_unit,V054,Age and Gender,1,1
V197,"Mulheres, cônjuges ou companheiras de sexo diferente com 64 anos de idade","Women, spouses or partners of different sex with 64 years of age",family_unit,V055,Age and Gender,1,0
V198,"Mulheres, cônjuges ou companheiras de sexo diferente com 65 anos de idade","Women, spouses or partners of different sex with 65 years of age",family_unit,V056,Age and Gender,0,0
V199,"Mulheres, cônjuges ou companheiras de sexo diferente com 66 anos de idade","Women, spouses or partners of different sex with 66 years of age",family_unit,V057,Age and Gender,3,2
V200,"Mulheres, cônjuges ou companheiras de sexo diferente com 67 anos de idade","Women, spouses or partners of different sex with 67 years of age",family_unit,V058,Age and Gender,1,1
V201,"Mulheres, cônjuges ou companheiras de sexo diferente com 68 anos de idade","Women, spouses or partners of different sex at 68 years of age",family_unit,V059,Age and Gender,1,3
V202,"Mulheres, cônjuges ou companheiras de sexo diferente com 69 anos de idade","Women, spouses or partners of different sex with 69 years of age",family_unit,V060,Age and Gender,1,0
V203,"Mulheres, cônjuges ou companheiras de sexo diferente com 70 anos de idade","Women, spouses or partners of different sex with 70 years of age",family_unit,V061,Age and Gender,1,0
V204,"Mulheres, cônjuges ou companheiras de sexo diferente com 71 anos de idade","Women, spouses or partners of different sex with 71 years of age",family_unit,V062,Age and Gender,0,2
V205,"Mulheres, cônjuges ou companheiras de sexo diferente com 72 anos de idade","Women, spouses or partners of different sex with 72 years of age",family_unit,V063,Age and Gender,1,1
V206,"Mulheres, cônjuges ou companheiras de sexo diferente com 73 anos de idade","Women, spouses or partners of different sex with 73 years of age",family_unit,V064,Age and Gender,0,0
V207,"Mulheres, cônjuges ou companheiras de sexo diferente com 74 anos de idade","Women, spouses or partners of different sex with 74 years of age",family_unit,V065,Age and Gender,1,0
V208,"Mulheres, cônjuges ou companheiras de sexo diferente com 75 anos de idade","Women, spouses or partners of different sex with 75 years of age",family_unit,V066,Age and Gender,0,0
V209,"Mulheres, cônjuges ou companheiras de sexo diferente com 76 anos de idade","Women, spouses or partners of different sex with 76 years of age",family_unit,V067,Age and Gender,0,0
V210,"Mulheres, cônjuges ou companheiras de sexo diferente com 77 anos de idade","Women, spouses or partners of different sex with 77 years of age",family_unit,V068,Age and Gender,0,0
V211,"Mulheres, cônjuges ou companheiras de sexo diferente com 78 anos de idade","Women, spouses or partners of different sex with 78 years of age",family_unit,V069,Age and Gender,0,0
V212,"Mulheres, cônjuges ou companheiras de sexo diferente com 79 anos de idade","Women, spouses or partners of different sex with 79 years of age",family_unit,V070,Age and Gender,0,0
V213,"Mulheres, cônjuges ou companheiras de sexo diferente com 80 anos ou mais de idade","Women, spouses or partners of different sex with 80 years of age or over",family_unit,V071,Age and Gender,0,2
