Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_seto,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V227,Enteadas com 22 anos de idade,Stepdaughters with 22 years of age,people,Pessoa07_V125,families|age_gender,0,0
V228,Enteadas com 23 anos de idade,Stepdaughters with 23 years of age,people,Pessoa07_V126,families|age_gender,0,0
V229,Enteadas com 24 anos de idade,Stepdaughters with 24 years of age,people,Pessoa07_V127,families|age_gender,0,0
V230,Enteadas com 25 anos de idade,Stepdaughters with 25 years of age,people,Pessoa07_V128,families|age_gender,1,0
V231,Enteadas com 26 anos de idade,Stepdaughters with 26 years of age,people,Pessoa07_V129,families|age_gender,0,0
V232,Enteadas com 27 anos de idade,Stepdaughters with 27 years of age,people,Pessoa07_V130,families|age_gender,0,0
V233,Enteadas com 28 anos de idade,Stepdaughters with 28 years of age,people,Pessoa07_V131,families|age_gender,0,0
V234,Enteadas com 29 anos de idade,Stepdaughters with 29 years of age,people,Pessoa07_V132,families|age_gender,0,0
V235,Enteadas com 30 anos de idade,Stepdaughters with 30 years of age,people,Pessoa07_V133,families|age_gender,0,0
V236,Enteadas com 31 anos de idade,31-year-old stepdaughters,people,Pessoa07_V134,families|age_gender,0,0
V237,Enteadas com 32 anos de idade,32-year-old Stepdaughters,people,Pessoa07_V135,families|age_gender,0,0
V238,Enteadas com 33 anos de idade,Stepdaughters with 33 years of age,people,Pessoa07_V136,families|age_gender,0,0
V239,Enteadas com 34 anos de idade,34-year-old stepchildren,people,Pessoa07_V137,families|age_gender,0,0
V240,Enteadas com 35 anos de idade,Stepdaughters with 35 years of age,people,Pessoa07_V138,families|age_gender,0,0
V241,Enteadas com 36 anos de idade,Stepdaughters with 36 years of age,people,Pessoa07_V139,families|age_gender,0,0
V242,Enteadas com 37 anos de idade,Stepchildren with 37 years of age,people,Pessoa07_V140,families|age_gender,0,0
V243,Enteadas com 38 anos de idade,Stepdaughters with 38 years of age,people,Pessoa07_V141,families|age_gender,0,0
V244,Enteadas com 39 anos de idade,Stepdaughters with 39 years of age,people,Pessoa07_V142,families|age_gender,0,0
V245,Enteadas com 40 anos de idade,40-year-old stepchildren,people,Pessoa07_V143,families|age_gender,0,0
V246,Enteadas com 41 anos de idade,Stepdaughters at 41 years of age,people,Pessoa07_V144,families|age_gender,0,0
V247,Enteadas com 42 anos de idade,Stepdaughters with 42 years of age,people,Pessoa07_V145,families|age_gender,0,0
V248,Enteadas com 43 anos de idade,Stepdaughters with 43 years of age,people,Pessoa07_V146,families|age_gender,0,0
V249,Enteadas com 44 anos de idade,44-year-old stepdaughters,people,Pessoa07_V147,families|age_gender,0,0
V250,Enteadas com 45 anos de idade,Stepdaughters with 45 years of age,people,Pessoa07_V148,families|age_gender,0,0
V251,Enteadas com 46 anos de idade,Stepdaughters with 46 years of age,people,Pessoa07_V149,families|age_gender,0,0
V252,Enteadas com 47 anos de idade,Stepdaughters with 47 years of age,people,Pessoa07_V150,families|age_gender,0,0
V253,Enteadas com 48 anos de idade,48-year-old stepchildren,people,Pessoa07_V151,families|age_gender,0,0
V254,Enteadas com 49 anos de idade,Stepdaughters with 49 years of age,people,Pessoa07_V152,families|age_gender,0,0
,,,people,Pessoa07_V153,families|age_gender,0,0
