NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor,Industry code,,,,120001305000001,120001305000012
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V986,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe pavimentação,Residents in permanent private households of color or black race - There is no flooring,people,Entorno03_V422,housing|race_ethnicity,0,33
V987,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe pavimentação,Residents in permanent private households of yellow color or race - Paving exists,people,Entorno03_V422,housing|race_ethnicity,13,3
V988,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe pavimentação,Residents in permanent private households of color or yellow race - There is no flooring,people,Entorno03_V422,housing|race_ethnicity,1,6
V989,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe pavimentação,Residents in permanent private households of color or brown race - Paving exists,people,Entorno03_V422,housing|race_ethnicity,546,197
V990,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe pavimentação,Residents in permanent private households of color or brown breed - There is no flooring,people,Entorno03_V422,housing|race_ethnicity,33,297
V991,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe pavimentação,Residents in permanent private households of color or indigenous race - Paving exists,people,Entorno03_V422,housing|race_ethnicity,0,0
V992,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe pavimentação,Residents in permanent private dwellings of color or indigenous race - There is no pavement,people,Entorno03_V422,housing|race_ethnicity,0,0
V993,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe calçada,Residents in permanent private households of color or white race - Exist sidewalk,people,Entorno03_V422,housing|race_ethnicity,91,43
V994,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe calçada,Residents in permanent private households of color or white race - There is no sidewalk,people,Entorno03_V422,housing|race_ethnicity,246,306
V995,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe calçada,Residents in permanent private households of color or black race - Exist sidewalk,people,Entorno03_V422,housing|race_ethnicity,4,1
V996,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe calçada,Residents in permanent private households of color or black race - There is no sidewalk,people,Entorno03_V422,housing|race_ethnicity,23,45
V997,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe calçada,Residents in permanent private households of color or yellow race - Exist sidewalk,people,Entorno03_V422,housing|race_ethnicity,4,0
V998,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe calçada,Residents in permanent private households of color or yellow race - There is no sidewalk,people,Entorno03_V422,housing|race_ethnicity,10,9
V999,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe calçada,Residents in permanent private households of color or brown breed - Exist sidewalk,people,Entorno03_V422,housing|race_ethnicity,175,53
V1000,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe calçada,Residents in permanent private households of color or brown race - There is no sidewalk,people,Entorno03_V422,housing|race_ethnicity,404,441
V1001,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe calçada,Residents in permanent private households of color or indigenous race - Exist sidewalk,people,Entorno03_V422,housing|race_ethnicity,0,0
V1002,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe calçada,Residents in permanent private households of color or indigenous race - There is no sidewalk,people,Entorno03_V422,housing|race_ethnicity,0,0
V1003,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe meio-fio/guia,Residents in permanent private households of color or white race - There is a curb / guide,people,Entorno03_V422,housing|race_ethnicity,307,102
V1004,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe meio-fio/guia,Residents in permanent private households of color or white race - No curb / guide,people,Entorno03_V422,housing|race_ethnicity,30,247
V1005,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe meio-fio/guia,Residents in permanent private households of color or black race - There is a curb / guide,people,Entorno03_V422,housing|race_ethnicity,27,13
V1006,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe meio-fio/guia,Residents in permanent private households of color or black race - No curb / guide,people,Entorno03_V422,housing|race_ethnicity,0,33
V1007,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe meio-fio/guia,Residents in permanent private households of color or yellow race - There is a curb / guide,people,Entorno03_V422,housing|race_ethnicity,13,3
V1008,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe meio-fio/guia,Residents in permanent private households of color or yellow race - No curb / guide,people,Entorno03_V422,housing|race_ethnicity,1,6
V1009,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe meio-fio/guia,Residents in permanent private households of color or brown breed - There is a curb / guide,people,Entorno03_V422,housing|race_ethnicity,524,178
V1010,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe meio-fio/guia,Residents in permanent private households of color or brown breed - No curb / guide,people,Entorno03_V422,housing|race_ethnicity,55,316
V1011,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe meio-fio/guia,Residents in permanent private households of color or indigenous race - There is a curb / guide,people,Entorno03_V422,housing|race_ethnicity,0,0
V1012,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe meio-fio/guia,Residents in permanent private households of color or indigenous race - No curb / guide,people,Entorno03_V422,housing|race_ethnicity,0,0
V1013,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe bueiro/boca-de-lobo,Residents in permanent private households of color or white race - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,166,0
V1014,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe bueiro/boca-de-lobo,Residents in permanent private households of color or white race - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,171,349
V1015,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe bueiro/boca-de-lobo,Residents in permanent private households of color or black race - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,13,0
V1016,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings of color or black race - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,14,46
V1017,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe bueiro/boca-de-lobo,Residents in permanent private households of color or yellow race - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,3,0
V1018,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe bueiro/boca-de-lobo,Residents in permanent private households of color or yellow race - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,11,9
V1019,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe bueiro/boca-de-lobo,Residents in permanent private dwellings of color or brown breed - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,252,0
V1020,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings of color or brown breed - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,327,494
V1021,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe bueiro/boca-de-lobo,Residents in permanent private dwellings of color or indigenous race - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,0,0
V1022,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe bueiro/boca-de-lobo,Residents in permanent private dwellings of color or indigenous race - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing|race_ethnicity,0,0
V1023,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe rampa para cadeirante,Residents in permanent private households of color or white race - There is a wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,13,0
V1024,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe rampa para cadeirante,Residents in permanent private households of color or white race - There is no wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,324,349
V1025,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe rampa para cadeirante,Residents in permanent private households of color or black race - There is a wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,0,0
V1026,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe rampa para cadeirante,Residents in permanent private households of color or black race - There is no wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,27,46
V1027,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe rampa para cadeirante,Residents in permanent private households of color or yellow race - There is a wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,2,0
V1028,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe rampa para cadeirante,Residents in permanent private households of color or yellow race - There is no wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,12,9
V1029,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe rampa para cadeirante,Residents in permanent private households of color or brown race - There is a wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,31,0
V1030,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe rampa para cadeirante,Residents in permanent private households of color or brown race - There is no wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,548,494
V1031,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe rampa para cadeirante,Residents in permanent private households of color or indigenous race - There is a wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,0,0
V1032,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe rampa para cadeirante,Residents in permanent private households of color or indigenous race - There is no wheelchair ramp,people,Entorno03_V422,housing|race_ethnicity,0,0
V1033,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe arborização,Residents in permanent private households of color or white race - There is afforestation,people,Entorno03_V422,housing|race_ethnicity,135,43
V1034,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe arborização,Residents in permanent private households of color or white race - There is no afforestation,people,Entorno03_V422,housing|race_ethnicity,202,306
V1035,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe arborização,Residents in permanent private households of color or black race - There is afforestation,people,Entorno03_V422,housing|race_ethnicity,10,1
V1036,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe arborização,Residents in permanent private households of color or black race - There is no afforestation,people,Entorno03_V422,housing|race_ethnicity,17,45
V1037,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe arborização,Residents in permanent private households of color or yellow race - There is afforestation,people,Entorno03_V422,housing|race_ethnicity,5,0
V1038,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe arborização,Residents in permanent private households of color or yellow race - There is no afforestation,people,Entorno03_V422,housing|race_ethnicity,9,9
V1039,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe arborização,Residents in permanent private households of color or brown breed - There is afforestation,people,Entorno03_V422,housing|race_ethnicity,237,53
V1040,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe arborização,Residents in permanent private households of color or brown breed - There is no afforestation,people,Entorno03_V422,housing|race_ethnicity,342,441
V1041,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe arborização,Residents in permanent private households of color or indigenous race - There is afforestation,people,Entorno03_V422,housing|race_ethnicity,0,0
V1042,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe arborização,Residents in permanent private households of color or indigenous race - There is no afforestation,people,Entorno03_V422,housing|race_ethnicity,0,0
V1043,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe esgoto a céu aberto,Residents in permanent private households of color or white race - There is open sewage,people,Entorno03_V422,housing|race_ethnicity,16,0
V1044,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe esgoto a céu aberto,Residents in permanent private households of color or white race - No open sewage,people,Entorno03_V422,housing|race_ethnicity,321,349
V1045,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe esgoto a céu aberto,Residents in permanent private households of color or black race - There is open sewage,people,Entorno03_V422,housing|race_ethnicity,0,0
V1046,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe esgoto a céu aberto,Residents in permanent private households of color or black race - No open sewage,people,Entorno03_V422,housing|race_ethnicity,27,46
V1047,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe esgoto a céu aberto,Residents in permanent private households of yellow color or race - There is open sewage,people,Entorno03_V422,housing|race_ethnicity,1,0
V1048,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe esgoto a céu aberto,Residents in permanent private households of yellow color or race - No open sewage,people,Entorno03_V422,housing|race_ethnicity,13,9
V1049,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe esgoto a céu aberto,Residents in permanent private households of color or brown breed - There is open sewage,people,Entorno03_V422,housing|race_ethnicity,32,0
V1050,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe esgoto a céu aberto,Residents in permanent private households of color or brown breed - No open sewage,people,Entorno03_V422,housing|race_ethnicity,547,494
V1051,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe esgoto a céu aberto,Residents in permanent private households of indigenous color or race - There is open sewage,people,Entorno03_V422,housing|race_ethnicity,0,0
V1052,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe esgoto a céu aberto,Residents in permanent private households of indigenous color or race - There is no open sewage,people,Entorno03_V422,housing|race_ethnicity,0,0
V1053,Moradores em domicílios particulares permanentes de cor ou raça branca – Existe lixo acumulado nos logradouros,Residents in permanent private households of color or white race - There is accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
V1054,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe lixo acumulado nos logradouros,Residents in permanent private households of color or white race - There is no garbage accumulated in the streets,people,Entorno03_V422,housing|race_ethnicity,337,349
V1055,Moradores em domicílios particulares permanentes de cor ou raça preta – Existe lixo acumulado nos logradouros,Residents in permanent private households of color or black race - There is accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
V1056,Moradores em domicílios particulares permanentes de cor ou raça preta – Não existe lixo acumulado nos logradouros,Residents in permanent private dwellings of color or black race - There is no accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,27,46
V1057,Moradores em domicílios particulares permanentes de cor ou raça amarela – Existe lixo acumulado nos logradouros,Residents in permanent private households of color or yellow race - There is accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
V1058,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe lixo acumulado nos logradouros,Residents in permanent private households of color or yellow race - There is no garbage accumulated in the streets,people,Entorno03_V422,housing|race_ethnicity,14,9
V1059,Moradores em domicílios particulares permanentes de cor ou raça parda – Existe lixo acumulado nos logradouros,Residents in permanent private households of color or brown race - There is accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
V1060,Moradores em domicílios particulares permanentes de cor ou raça parda – Não existe lixo acumulado nos logradouros,Residents in permanent private households of color or brown breed - There is no garbage accumulated in the streets,people,Entorno03_V422,housing|race_ethnicity,579,494
V1061,Moradores em domicílios particulares permanentes de cor ou raça indígena – Existe lixo acumulado nos logradouros,Residents in permanent private households of color or indigenous race - There is accumulated garbage in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
V1062,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe lixo acumulado nos logradouros,Residents in permanent private households of color or indigenous race - There is no garbage accumulated in the streets,people,Entorno03_V422,housing|race_ethnicity,0,0
