NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
V569,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe arborização,Residents in permanent private homes that did not have a bathroom or toilet - There is afforestation,people,Entorno03_V422,housing,0,0
V570,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe arborização,Residents in permanent private homes that did not have a bathroom or toilet - There is no afforestation,people,Entorno03_V422,housing,0,0
V571,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe esgoto a céu aberto,Residents in permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is open sewage,people,Entorno03_V422,housing,0,0
V572,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe esgoto a céu aberto,Residents in permanent private households with bathrooms or sanitary facilities and sewage from the general sewage network or rainwater network - There is no open sewage,people,Entorno03_V422,housing,20,6
V573,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe esgoto a céu aberto,Residents in permanent private households that had a toilet or sewage system and septic tank sewage - There is open sewage,people,Entorno03_V422,housing,4,0
V574,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe esgoto a céu aberto,Residents in permanent private households that had a toilet or sewage system and septic tank sewer - There is no open sewage,people,Entorno03_V422,housing,63,11
V575,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe esgoto a céu aberto,Residents in permanent private homes that did not have a bathroom or toilet - There is open sewage,people,Entorno03_V422,housing,0,0
V576,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe esgoto a céu aberto,Residents in permanent private households that did not have a bathroom or toilet - No open sewage,people,Entorno03_V422,housing,0,0
V577,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Existe lixo acumulado nos logradouros,Residents in permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is accumulated garbage in the public areas,people,Entorno03_V422,housing,0,0
V578,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário da rede geral de esgoto ou rede pluvial – Não existe lixo acumulado nos logradouros,Residents in permanent private households with bathrooms or toilets and sanitary sewage from the general sewage network or rainwater network - There is no accumulated garbage in the public places,people,Entorno03_V422,housing,20,6
V579,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Existe lixo acumulado nos logradouros,Residents in permanent private households with bathrooms or toilets and septic tank sewage - There is accumulated garbage in the public areas,people,Entorno03_V422,housing,0,0
V580,Moradores em domicílios particulares permanentes que tinham banheiro ou sanitário e esgotamento sanitário de fossa séptica – Não existe lixo acumulado nos logradouros,Residents in permanent private households with bathrooms or toilets and septic tank sewage - There is no accumulated garbage in the public places,people,Entorno03_V422,housing,67,11
V581,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros,Residents in permanent private households that did not have a bathroom or toilet - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V582,Moradores em domicílios particulares permanentes que não tinham banheiro ou sanitário – Não existe lixo acumulado nos logradouros,Residents in permanent private households that did not have a bathroom or toilets - There is no accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V583,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe identificação do logradouro,Residents in permanent private households with garbage collected directly by cleaning service - There is identification of the public place,people,Entorno03_V422,housing,604,524
V584,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe identificação do logradouro,Residents in permanent private households with garbage collected directly by cleaning service - No street identification,people,Entorno03_V422,housing,347,348
V585,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe identificação do logradouro,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is an identification of the public place,people,Entorno03_V422,housing,0,0
V586,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe identificação do logradouro,Residents in permanent private households with garbage deposited in a cleaning service bucket - No street identification,people,Entorno03_V422,housing,0,0
V587,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe iluminação pública,Residents in permanent private households with garbage collected directly by cleaning service - There is public lighting,people,Entorno03_V422,housing,951,850
V588,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe iluminação pública,Residents in permanent private households with garbage collected directly by cleaning service - No public lighting,people,Entorno03_V422,housing,0,22
V589,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe iluminação pública,Residents in permanent private households with garbage deposited in cleaning service bucket - Public lighting,people,Entorno03_V422,housing,0,0
V590,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe iluminação pública,Residents in permanent private households with garbage deposited in cleaning service bucket - No public lighting,people,Entorno03_V422,housing,0,0
V591,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe pavimentação,Residents in permanent private households with garbage collected directly by cleaning service - There is paving,people,Entorno03_V422,housing,906,306
V592,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe pavimentação,Residents in permanent private households with garbage collected directly by cleaning service - There is no flooring,people,Entorno03_V422,housing,45,566
V593,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe pavimentação,Residents in permanent private households with garbage deposited in cleaning service bucket - There is paving,people,Entorno03_V422,housing,0,0
V594,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe pavimentação,Residents in permanent private households with garbage deposited in cleaning service bucket - There is no flooring,people,Entorno03_V422,housing,0,0
V595,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe calçada,Residents in permanent private households with garbage collected directly by cleaning service - There is a sidewalk,people,Entorno03_V422,housing,274,97
V596,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe calçada,Residents in permanent private households with garbage collected directly by cleaning service - There is no sidewalk,people,Entorno03_V422,housing,677,775
V597,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe calçada,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is a sidewalk,people,Entorno03_V422,housing,0,0
V598,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe calçada,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no sidewalk,people,Entorno03_V422,housing,0,0
V599,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe meio-fio/guia,Residents in permanent private households with garbage collected directly by cleaning service - There is curb / guide,people,Entorno03_V422,housing,871,296
V600,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe meio-fio/guia,Residents in permanent private households with garbage collected directly by cleaning service - No curb / guide,people,Entorno03_V422,housing,80,576
V601,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe meio-fio/guia,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is a curb / guide,people,Entorno03_V422,housing,0,0
V602,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe meio-fio/guia,Residents in permanent private households with garbage deposited in cleaning service bucket - No curb / guide,people,Entorno03_V422,housing,0,0
V603,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe bueiro/boca-de-lobo,Residents in permanent private households with garbage collected directly by cleaning service - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing,434,0
V604,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe bueiro/boca-de-lobo,Residents in permanent private households with garbage collected directly by cleaning service - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing,517,872
V605,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe bueiro/boca-de-lobo,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is manhole / mouth-of-wolf,people,Entorno03_V422,housing,0,0
V606,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe bueiro/boca-de-lobo,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no manhole / mouth-of-wolf,people,Entorno03_V422,housing,0,0
V607,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe rampa para cadeirante,Residents in permanent private households with garbage collected directly by cleaning service - There is a wheelchair ramp,people,Entorno03_V422,housing,46,0
V608,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe rampa para cadeirante,Residents in permanent private households with garbage collected directly by cleaning service - There is no wheelchair ramp,people,Entorno03_V422,housing,905,872
V609,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe rampa para cadeirante,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is a wheelchair ramp,people,Entorno03_V422,housing,0,0
V610,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe rampa para cadeirante,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no wheelchair ramp,people,Entorno03_V422,housing,0,0
V611,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe arborização,Residents in permanent private households with garbage collected directly by cleaning service - There is afforestation,people,Entorno03_V422,housing,387,97
V612,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe arborização,Residents in permanent private households with garbage collected directly by cleaning service - There is no afforestation,people,Entorno03_V422,housing,564,775
V613,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe arborização,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is afforestation,people,Entorno03_V422,housing,0,0
V614,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe arborização,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no afforestation,people,Entorno03_V422,housing,0,0
V615,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe esgoto a céu aberto,Residents in permanent private households with garbage collected directly by cleaning service - There is open sewage,people,Entorno03_V422,housing,49,0
V616,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe esgoto a céu aberto,Residents in permanent private households with garbage collected directly by cleaning service - There is no open sewage,people,Entorno03_V422,housing,902,872
V617,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe esgoto a céu aberto,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is open sewage,people,Entorno03_V422,housing,0,0
V618,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe esgoto a céu aberto,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no open sewage,people,Entorno03_V422,housing,0,0
V619,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Existe lixo acumulado nos logradouros,Residents in permanent private households with garbage collected directly by cleaning service - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V620,Moradores em domicílios particulares permanentes com lixo coletado diretamente por serviço de limpeza – Não existe lixo acumulado nos logradouros,Residents in permanent private households with garbage collected directly by cleaning service - There is no accumulated garbage in the streets,people,Entorno03_V422,housing,951,872
V621,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Existe lixo acumulado nos logradouros,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is accumulated garbage in the streets,people,Entorno03_V422,housing,0,0
V622,Moradores em domicílios particulares permanentes com lixo depositado em caçamba de serviço de limpeza – Não existe lixo acumulado nos logradouros,Residents in permanent private households with garbage deposited in a cleaning service bucket - There is no accumulated garbage in the public places,people,Entorno03_V422,housing,0,0
